group_column,group_value,n,audited_column,missing_count,missing_rate
label,0,14872,Aanvangstijd_y,14872,1.0
label,1,15277,Aanvangstijd_y,15277,1.0
label,0,14872,Eindtijd_y,14872,1.0
label,1,15277,Eindtijd_y,15277,1.0
label,0,14872,log_speech_duration,0,0.0
label,1,15277,log_speech_duration,0,0.0
label,0,14872,log_text_length,0,0.0
label,1,15277,log_text_length,0,0.0
label,0,14872,sentiment_neg,0,0.0
label,1,15277,sentiment_neg,0,0.0
label,0,14872,sentiment_pos,0,0.0
label,1,15277,sentiment_pos,0,0.0
label,0,14872,sentiment_score,0,0.0
label,1,15277,sentiment_score,0,0.0
label,1,15277,speaker_party,3308,0.21653465994632454
label,0,14872,speaker_party,2975,0.2000403442711135
label,0,14872,speaker_party_clean,0,0.0
label,1,15277,speaker_party_clean,0,0.0
label,0,14872,speech_duration_seconds,0,0.0
label,1,15277,speech_duration_seconds,0,0.0
label,0,14872,time_diff,0,0.0
label,1,15277,time_diff,0,0.0
